"Statistic Label","Year","Ward","UNIT","VALUE"
"Crops in hectares","2017","Ballygowan","Number","497.5"
"Crops in hectares","2017","Ballygrainey","Number","65.3"
"Crops in hectares","2017","Ballyholme","Number","3"
"Crops in hectares","2017","Ballymagee","Number","3"
"Crops in hectares","2017","Ballywalter","Number","538.3"
"Crops in hectares","2017","Bloomfield (North Down and Ards)","Number","3"
"Crops in hectares","2017","Broadway","Number","3"
"Crops in hectares","2017","Bryansburn","Number","3"
"Crops in hectares","2017","Carrowdore","Number","541"
"Crops in hectares","2017","Castle (North Down and Ards)","Number","3"
"Crops in hectares","2017","Clandeboye","Number","116.2"
"Crops in hectares","2017","Comber North","Number","346.5"
"Crops in hectares","2017","Comber South","Number","442.7"
"Crops in hectares","2017","Comber West","Number","167.3"
"Crops in hectares","2017","Conway Square","Number","3"
"Crops in hectares","2017","Cronstown","Number","3"
"Crops in hectares","2017","Cultra","Number",""
"Crops in hectares","2017","Donaghadee","Number","3"
"Crops in hectares","2017","Glen","Number","0.4"
"Crops in hectares","2017","Gregstown","Number","3"
"Crops in hectares","2017","Groomsport","Number","123.7"
"Crops in hectares","2017","Harbour","Number","3"
"Crops in hectares","2017","Helen's Bay","Number","29.2"
"Crops in hectares","2017","Holywood","Number","3"
"Crops in hectares","2017","Kilcooley","Number","3"
"Crops in hectares","2017","Killinchy","Number","464"
"Crops in hectares","2017","Kircubbin","Number","460.1"
"Crops in hectares","2017","Loughries","Number","430.2"
"Crops in hectares","2017","Loughview","Number","117"
"Crops in hectares","2017","Movilla","Number","3"
"Crops in hectares","2017","Portaferry","Number","752"
"Crops in hectares","2017","Portavogie","Number","94.3"
"Crops in hectares","2017","Rathgael","Number","3"
"Crops in hectares","2017","Rathmore","Number","3"
"Crops in hectares","2017","Scrabo","Number","823.6"
"Crops in hectares","2017","Silverbirch","Number","3"
"Crops in hectares","2017","Silverstream","Number","3"
"Crops in hectares","2017","Warren","Number","155.9"
"Crops in hectares","2017","West Winds","Number","3"
"Crops in hectares","2017","Northern Ireland","Number","47227.4"
"Crops in hectares","2018","Abbey (Antrim and Newtownabbey)","Number",""
"Crops in hectares","2018","Aldergrove","Number","173.4"
"Crops in hectares","2018","Antrim Centre","Number","3"
"Crops in hectares","2018","Ballyclare East","Number","3"
"Crops in hectares","2018","Ballyclare West","Number",""
"Crops in hectares","2018","Ballyduff","Number",""
"Crops in hectares","2018","Ballyhenry","Number","3"
"Crops in hectares","2018","Ballynure","Number","73.5"
"Crops in hectares","2018","Ballyrobert","Number","90.1"
"Crops in hectares","2018","Burnthill","Number","3"
"Crops in hectares","2018","Carnmoney","Number",""
"Crops in hectares","2018","Carnmoney Hill","Number","3"
"Crops in hectares","2018","Clady","Number","233.8"
"Crops in hectares","2018","Collinbridge","Number","3"
"Crops in hectares","2018","Cranfield","Number","130.9"
"Crops in hectares","2018","Crumlin","Number",""
"Crops in hectares","2018","Doagh","Number","125.4"
"Crops in hectares","2018","Fairview","Number",""
"Crops in hectares","2018","Fountain Hill","Number",""
"Crops in hectares","2018","Glebe (Antrim and Newtownabbey)","Number",""
"Crops in hectares","2018","Glengormley","Number","3"
"Crops in hectares","2018","Greystone (Antrim and Newtownabbey)","Number",""
"Crops in hectares","2018","Hightown","Number",""
"Crops in hectares","2018","Jordanstown","Number",""
"Crops in hectares","2018","Mallusk","Number","81.3"
"Crops in hectares","2018","Monkstown","Number",""
"Crops in hectares","2018","Mossley","Number",""
"Crops in hectares","2018","O'Neill","Number",""
"Crops in hectares","2018","Parkgate","Number","246.2"
"Crops in hectares","2018","Randalstown","Number","41.2"
"Crops in hectares","2018","Rathcoole","Number",""
"Crops in hectares","2018","Rostulla","Number",""
"Crops in hectares","2018","Shilvodan","Number","117.7"
"Crops in hectares","2018","Springfarm","Number","3"
"Crops in hectares","2018","Steeple","Number",""
"Crops in hectares","2018","Stiles","Number","3"
"Crops in hectares","2018","Templepatrick","Number","88.7"
"Crops in hectares","2018","Toome","Number","96.4"
"Crops in hectares","2018","Valley (Antrim and Newtownabbey)","Number",""
"Crops in hectares","2018","Whitehouse","Number",""
"Crops in hectares","2018","Aghagallon","Number","291.6"
"Crops in hectares","2018","Ballybay","Number","261.3"
"Crops in hectares","2018","Banbridge East","Number","458.8"
"Crops in hectares","2018","Banbridge North","Number","2.8"
"Crops in hectares","2018","Banbridge South","Number","3"
"Crops in hectares","2018","Banbridge West","Number","3"
"Crops in hectares","2018","Blackwatertown","Number","705.4"
"Crops in hectares","2018","Bleary","Number","32"
"Crops in hectares","2018","Brownlow","Number","3"
"Crops in hectares","2018","Cathedral (Armagh, Banbridge and Craigavon)","Number","6.3"
"Crops in hectares","2018","Corcrain","Number","3"
"Crops in hectares","2018","Craigavon Centre","Number","76.8"
"Crops in hectares","2018","Demesne","Number",""
"Crops in hectares","2018","Derrytrasna","Number","99.3"
"Crops in hectares","2018","Donaghcloney","Number","536.9"
"Crops in hectares","2018","Dromore (Armagh, Banbridge and Craigavon)","Number","74"
"Crops in hectares","2018","Gilford","Number","130"
"Crops in hectares","2018","Gransha","Number","460"
"Crops in hectares","2018","Hamiltonsbawn","Number","549.8"
"Crops in hectares","2018","Keady","Number","21.2"
"Crops in hectares","2018","Kernan","Number","8.7"
"Crops in hectares","2018","Killycomain","Number","3"
"Crops in hectares","2018","Knocknashane","Number","3"
"Crops in hectares","2018","Lough Road","Number","3"
"Crops in hectares","2018","Loughbrickland","Number","1439.5"
"Crops in hectares","2018","Loughgall","Number","960.9"
"Crops in hectares","2018","Magheralin","Number","66.7"
"Crops in hectares","2018","Mahon","Number","51.8"
"Crops in hectares","2018","Markethill","Number","526.6"
"Crops in hectares","2018","Mourneview","Number","3"
"Crops in hectares","2018","Navan","Number","160"
"Crops in hectares","2018","Parklake","Number",""
"Crops in hectares","2018","Quilly","Number","638.1"
"Crops in hectares","2018","Rathfriland","Number","552.9"
"Crops in hectares","2018","Richhill","Number","274.6"
"Crops in hectares","2018","Seagahan","Number","31.5"
"Crops in hectares","2018","Shankill (Armagh, Banbridge and Craigavon)","Number","3"
"Crops in hectares","2018","Tandragee","Number","136.8"
"Crops in hectares","2018","The Birches","Number","456.3"
"Crops in hectares","2018","The Mall","Number","67.9"
"Crops in hectares","2018","Waringstown","Number","109.1"
"Crops in hectares","2018","Andersonstown","Number",""
"Crops in hectares","2018","Ardoyne","Number",""
"Crops in hectares","2018","Ballygomartin","Number","3"
"Crops in hectares","2018","Ballymacarrett","Number",""
"Crops in hectares","2018","Ballymurphy","Number",""
"Crops in hectares","2018","Ballysillan","Number",""
"Crops in hectares","2018","Beechmount","Number",""
"Crops in hectares","2018","Beersbridge","Number",""
"Crops in hectares","2018","Bellevue","Number",""
"Crops in hectares","2018","Belmont","Number","3"
"Crops in hectares","2018","Belvoir","Number","3"
"Crops in hectares","2018","Blackstaff","Number",""
"Crops in hectares","2018","Bloomfield (Belfast)","Number",""
"Crops in hectares","2018","Cavehill","Number",""
"Crops in hectares","2018","Central","Number","3"
"Crops in hectares","2018","Chichester Park","Number",""
"Crops in hectares","2018","Cliftonville","Number",""
"Crops in hectares","2018","Clonard","Number",""
"Crops in hectares","2018","Collin Glen","Number","3"
"Crops in hectares","2018","Connswater","Number",""
"Crops in hectares","2018","Cregagh","Number","3"
"Crops in hectares","2018","Duncairn","Number","3"
"Crops in hectares","2018","Dunmurry","Number","3"
"Crops in hectares","2018","Falls","Number",""
"Crops in hectares","2018","Falls Park","Number",""
"Crops in hectares","2018","Finaghy","Number",""
"Crops in hectares","2018","Forth River","Number","3"
"Crops in hectares","2018","Fortwilliam","Number",""
"Crops in hectares","2018","Garnerville","Number","3"
"Crops in hectares","2018","Gilnahirk","Number",""
"Crops in hectares","2018","Hillfoot","Number","3"
"Crops in hectares","2018","Innisfayle","Number","3"
"Crops in hectares","2018","Knock","Number","3"
"Crops in hectares","2018","Ladybrook","Number",""
"Crops in hectares","2018","Lagmore","Number",""
"Crops in hectares","2018","Legoniel","Number",""
"Crops in hectares","2018","Malone","Number",""
"Crops in hectares","2018","Merok","Number",""
"Crops in hectares","2018","Musgrave","Number",""
"Crops in hectares","2018","New Lodge","Number",""
"Crops in hectares","2018","Orangefield","Number","3"
"Crops in hectares","2018","Ormeau","Number",""
"Crops in hectares","2018","Poleglass","Number","3"
"Crops in hectares","2018","Ravenhill","Number",""
"Crops in hectares","2018","Rosetta","Number",""
"Crops in hectares","2018","Sandown","Number",""
"Crops in hectares","2018","Shandon","Number","3"
"Crops in hectares","2018","Shankill (Belfast)","Number",""
"Crops in hectares","2018","Shaw's Road","Number",""
"Crops in hectares","2018","Stewartstown (Belfast)","Number","3"
"Crops in hectares","2018","Stormont","Number",""
"Crops in hectares","2018","Stranmillis","Number","3"
"Crops in hectares","2018","Sydenham","Number",""
"Crops in hectares","2018","Turf Lodge","Number","3"
"Crops in hectares","2018","Twinbrook","Number",""
"Crops in hectares","2018","Upper Malone","Number","3"
"Crops in hectares","2018","Water Works","Number",""
"Crops in hectares","2018","Windsor","Number","3"
"Crops in hectares","2018","Woodstock","Number",""
"Crops in hectares","2018","Woodvale","Number",""
"Crops in hectares","2018","Aghadowey","Number","372"
"Crops in hectares","2018","Altahullion","Number","832.9"
"Crops in hectares","2018","Atlantic","Number","3"
"Crops in hectares","2018","Ballycastle","Number","7.5"
"Crops in hectares","2018","Ballykelly","Number","957.6"
"Crops in hectares","2018","Ballymoney East","Number","3"
"Crops in hectares","2018","Ballymoney North","Number","3"
"Crops in hectares","2018","Ballymoney South","Number","2.9"
"Crops in hectares","2018","Castlerock","Number","69.3"
"Crops in hectares","2018","Churchland","Number","3"
"Crops in hectares","2018","Clogh Mills","Number","158.7"
"Crops in hectares","2018","Coolessan","Number","3"
"Crops in hectares","2018","Dervock","Number","589.3"
"Crops in hectares","2018","Drumsurn","Number","231.7"
"Crops in hectares","2018","Dundooan","Number","711.1"
"Crops in hectares","2018","Dungiven","Number","4"
"Crops in hectares","2018","Dunloy","Number","191.2"
"Crops in hectares","2018","Feeny","Number","70.6"
"Crops in hectares","2018","Garvagh","Number","133.3"
"Crops in hectares","2018","Giant's Causeway","Number","498.1"
"Crops in hectares","2018","Greysteel","Number","317.7"
"Crops in hectares","2018","Greystone (Causeway Coast and Glens)","Number","13.5"
"Crops in hectares","2018","Hopefield","Number","3"
"Crops in hectares","2018","Kilrea","Number","103.8"
"Crops in hectares","2018","Kinbane","Number","267.7"
"Crops in hectares","2018","Loughguile and Stranocum","Number","328.4"
"Crops in hectares","2018","Lurigethan","Number","63.3"
"Crops in hectares","2018","Macosquin","Number","380.4"
"Crops in hectares","2018","Magilligan","Number","1468.1"
"Crops in hectares","2018","Mountsandel","Number","3"
"Crops in hectares","2018","Portrush and Dunluce","Number","220"
"Crops in hectares","2018","Portstewart","Number",""
"Crops in hectares","2018","Quarry","Number","3"
"Crops in hectares","2018","Rasharkin","Number","215.8"
"Crops in hectares","2018","Roeside","Number","3"
"Crops in hectares","2018","Route","Number","36.9"
"Crops in hectares","2018","Torr Head and Rathlin","Number","56.2"
"Crops in hectares","2018","University","Number",""
"Crops in hectares","2018","Waterside","Number","3"
"Crops in hectares","2018","Windy Hall","Number","3"
"Crops in hectares","2018","Artigarvan","Number","100.5"
"Crops in hectares","2018","Ballycolman","Number",""
"Crops in hectares","2018","Ballymagroarty","Number","3"
"Crops in hectares","2018","Brandywell","Number",""
"Crops in hectares","2018","Carn Hill","Number",""
"Crops in hectares","2018","Castlederg","Number","5.3"
"Crops in hectares","2018","Caw","Number","3"
"Crops in hectares","2018","City Walls","Number","3"
"Crops in hectares","2018","Claudy","Number","104.5"
"Crops in hectares","2018","Clondermot","Number","3"
"Crops in hectares","2018","Creggan","Number","3"
"Crops in hectares","2018","Creggan South","Number",""
"Crops in hectares","2018","Culmore","Number","294.6"
"Crops in hectares","2018","Drumahoe","Number","9.4"
"Crops in hectares","2018","Dunnamanagh","Number","308.1"
"Crops in hectares","2018","Ebrington","Number","3"
"Crops in hectares","2018","Eglinton","Number","62.8"
"Crops in hectares","2018","Enagh","Number","957.7"
"Crops in hectares","2018","Finn","Number","162.4"
"Crops in hectares","2018","Foyle Springs","Number",""
"Crops in hectares","2018","Galliagh","Number","3"
"Crops in hectares","2018","Glenderg","Number","62.4"
"Crops in hectares","2018","Glenelly Valley","Number","322.7"
"Crops in hectares","2018","Kilfennan","Number","3"
"Crops in hectares","2018","Lisnagelvin","Number","3"
"Crops in hectares","2018","Madam's Bank","Number",""
"Crops in hectares","2018","New Buildings","Number","3"
"Crops in hectares","2018","Newtownstewart","Number","490.1"
"Crops in hectares","2018","Northland","Number","3"
"Crops in hectares","2018","Park (Derry and Strabane)","Number","87.4"
"Crops in hectares","2018","Shantallow","Number","3"
"Crops in hectares","2018","Shantallow East","Number",""
"Crops in hectares","2018","Sheriff's Mountain","Number","265.1"
"Crops in hectares","2018","Sion Mills","Number","169"
"Crops in hectares","2018","Skeoge","Number","3"
"Crops in hectares","2018","Slievekirk","Number","653.6"
"Crops in hectares","2018","Springtown","Number",""
"Crops in hectares","2018","Strabane North","Number","7.3"
"Crops in hectares","2018","Strabane West","Number",""
"Crops in hectares","2018","Victoria (Derry and Strabane)","Number","15.8"
"Crops in hectares","2018","Ballinamallard","Number",""
"Crops in hectares","2018","Belcoo and Garrison","Number",""
"Crops in hectares","2018","Belleek and Boa","Number",""
"Crops in hectares","2018","Beragh","Number","81.3"
"Crops in hectares","2018","Boho,Cleenish and Letterbreen","Number","26.3"
"Crops in hectares","2018","Brookeborough","Number","12.1"
"Crops in hectares","2018","Camowen","Number","7.6"
"Crops in hectares","2018","Castlecoole","Number","10.2"
"Crops in hectares","2018","Coolnagard","Number",""
"Crops in hectares","2018","Dergmoney","Number",""
"Crops in hectares","2018","Derrygonnelly","Number","72"
"Crops in hectares","2018","Derrylin","Number","6.1"
"Crops in hectares","2018","Donagh","Number",""
"Crops in hectares","2018","Dromore (Fermanagh and Omagh)","Number","41.2"
"Crops in hectares","2018","Drumnakilly","Number",""
"Crops in hectares","2018","Drumquin","Number","51.4"
"Crops in hectares","2018","Ederney and Kesh","Number",""
"Crops in hectares","2018","Erne","Number","3"
"Crops in hectares","2018","Fairy Water","Number","138.7"
"Crops in hectares","2018","Fintona","Number","17.7"
"Crops in hectares","2018","Florence Court and Kinawley","Number","15"
"Crops in hectares","2018","Gortin","Number","44.9"
"Crops in hectares","2018","Gortrush","Number","13"
"Crops in hectares","2018","Irvinestown","Number","0.1"
"Crops in hectares","2018","Killyclogher","Number","3"
"Crops in hectares","2018","Lisbellaw","Number",""
"Crops in hectares","2018","Lisnarrick","Number","2.1"
"Crops in hectares","2018","Lisnaskea","Number",""
"Crops in hectares","2018","Maguiresbridge","Number","3.9"
"Crops in hectares","2018","Newtownbutler","Number","9.5"
"Crops in hectares","2018","Newtownsaville","Number",""
"Crops in hectares","2018","Owenkillew","Number","24.7"
"Crops in hectares","2018","Portora","Number",""
"Crops in hectares","2018","Rosslea","Number","13.9"
"Crops in hectares","2018","Rossorry","Number",""
"Crops in hectares","2018","Sixmilecross","Number","0.2"
"Crops in hectares","2018","Strule","Number",""
"Crops in hectares","2018","Tempo","Number","13.9"
"Crops in hectares","2018","Termon","Number","8.5"
"Crops in hectares","2018","Trillick","Number",""
"Crops in hectares","2018","Ballinderry","Number","308.1"
"Crops in hectares","2018","Ballyhanwood","Number","107.8"
"Crops in hectares","2018","Ballymacash","Number",""
"Crops in hectares","2018","Ballymacbrennan","Number","281.7"
"Crops in hectares","2018","Ballymacoss","Number",""
"Crops in hectares","2018","Beechill","Number",""
"Crops in hectares","2018","Blaris","Number","278.8"
"Crops in hectares","2018","Cairnshill","Number","3"
"Crops in hectares","2018","Carrowreagh","Number","183.6"
"Crops in hectares","2018","Carryduff East","Number","40.4"
"Crops in hectares","2018","Carryduff West","Number","29.2"
"Crops in hectares","2018","Derryaghy","Number",""
"Crops in hectares","2018","Dromara","Number","94.4"
"Crops in hectares","2018","Drumbo","Number","146.9"
"Crops in hectares","2018","Dundonald","Number","3"
"Crops in hectares","2018","Enler","Number",""
"Crops in hectares","2018","Galwally","Number",""
"Crops in hectares","2018","Glenavy","Number","102.3"
"Crops in hectares","2018","Graham's Bridge","Number",""
"Crops in hectares","2018","Harmony Hill","Number","3"
"Crops in hectares","2018","Hilden","Number","3"
"Crops in hectares","2018","Hillhall","Number","83.5"
"Crops in hectares","2018","Hillsborough","Number","103.8"
"Crops in hectares","2018","Knockbracken","Number","3"
"Crops in hectares","2018","Knockmore","Number","3"
"Crops in hectares","2018","Lagan","Number","877.9"
"Crops in hectares","2018","Lagan Valley","Number",""
"Crops in hectares","2018","Lambeg","Number","86.5"
"Crops in hectares","2018","Lisnagarvey","Number",""
"Crops in hectares","2018","Maghaberry","Number","300.6"
"Crops in hectares","2018","Magheralave","Number","3"
"Crops in hectares","2018","Maze","Number","264.4"
"Crops in hectares","2018","Moira","Number","153.4"
"Crops in hectares","2018","Moneyreagh","Number","188.2"
"Crops in hectares","2018","Newtownbreda","Number","3"
"Crops in hectares","2018","Old Warren","Number","3"
"Crops in hectares","2018","Ravernet","Number","253.2"
"Crops in hectares","2018","Stonyford","Number","95.6"
"Crops in hectares","2018","Wallace Park","Number","3"
"Crops in hectares","2018","White Mountain","Number","3.2"
"Crops in hectares","2018","Academy","Number","3"
"Crops in hectares","2018","Ahoghill","Number","14.7"
"Crops in hectares","2018","Ardeevin","Number","3"
"Crops in hectares","2018","Ballee and Harryville","Number","3"
"Crops in hectares","2018","Ballycarry and Glynn","Number","10.1"
"Crops in hectares","2018","Ballykeel","Number","3"
"Crops in hectares","2018","Boneybefore","Number",""
"Crops in hectares","2018","Braidwater","Number","3"
"Crops in hectares","2018","Broughshane","Number","63"
"Crops in hectares","2018","Burleigh Hill","Number","3"
"Crops in hectares","2018","Cairncastle","Number","16.8"
"Crops in hectares","2018","Carnlough and Glenarm","Number","32.1"
"Crops in hectares","2018","Castle (Mid and East Antrim)","Number",""
"Crops in hectares","2018","Castle Demesne","Number","3"
"Crops in hectares","2018","Craigyhill","Number","5.9"
"Crops in hectares","2018","Cullybackey","Number","3"
"Crops in hectares","2018","Curran and Inver","Number","3"
"Crops in hectares","2018","Fair Green","Number","3"
"Crops in hectares","2018","Galgorm","Number","7.1"
"Crops in hectares","2018","Gardenmore","Number","3"
"Crops in hectares","2018","Glenravel","Number","63.1"
"Crops in hectares","2018","Glenwhirry","Number","58.5"
"Crops in hectares","2018","Gortalee","Number",""
"Crops in hectares","2018","Grange","Number","101.5"
"Crops in hectares","2018","Greenisland","Number","3"
"Crops in hectares","2018","Islandmagee","Number",""
"Crops in hectares","2018","Kells","Number","41.7"
"Crops in hectares","2018","Kilroot","Number","0.2"
"Crops in hectares","2018","Kilwaughter","Number","57.5"
"Crops in hectares","2018","Kirkinriola","Number","68.3"
"Crops in hectares","2018","Love Lane","Number","3"
"Crops in hectares","2018","Maine","Number","132.9"
"Crops in hectares","2018","Park (Mid and East Antrim)","Number","3"
"Crops in hectares","2018","Portglenone","Number","134.9"
"Crops in hectares","2018","Slemish","Number","137.7"
"Crops in hectares","2018","Sunnylands","Number",""
"Crops in hectares","2018","The Maidens","Number",""
"Crops in hectares","2018","Victoria (Mid and East Antrim)","Number","3"
"Crops in hectares","2018","Whitehead South","Number",""
"Crops in hectares","2018","Woodburn","Number","4"
"Crops in hectares","2018","Ardboe","Number","138.4"
"Crops in hectares","2018","Augher and Clogher","Number","106.4"
"Crops in hectares","2018","Aughnacloy","Number","11.8"
"Crops in hectares","2018","Ballygawley","Number","9.7"
"Crops in hectares","2018","Ballymaguigan","Number","151.7"
"Crops in hectares","2018","Ballysaggart","Number","3"
"Crops in hectares","2018","Bellaghy","Number","172.8"
"Crops in hectares","2018","Caledon","Number","261.4"
"Crops in hectares","2018","Castlecaulfield","Number","28.6"
"Crops in hectares","2018","Castledawson","Number","134.2"
"Crops in hectares","2018","Coagh","Number","167.7"
"Crops in hectares","2018","Coalisland North","Number","8.3"
"Crops in hectares","2018","Coalisland South","Number",""
"Crops in hectares","2018","Cookstown East","Number","16.9"
"Crops in hectares","2018","Cookstown South","Number","3"
"Crops in hectares","2018","Cookstown West","Number",""
"Crops in hectares","2018","Coolshinny","Number","279.3"
"Crops in hectares","2018","Donaghmore","Number","122.8"
"Crops in hectares","2018","Draperstown","Number","15.1"
"Crops in hectares","2018","Fivemiletown","Number","15.2"
"Crops in hectares","2018","Glebe (Mid Ulster)","Number","3"
"Crops in hectares","2018","Killyman","Number","76"
"Crops in hectares","2018","Killymeal","Number",""
"Crops in hectares","2018","Lissan","Number","204.4"
"Crops in hectares","2018","Loughry","Number","4"
"Crops in hectares","2018","Lower Glenshane","Number","58.7"
"Crops in hectares","2018","Maghera","Number","1.4"
"Crops in hectares","2018","Moy","Number","164"
"Crops in hectares","2018","Moygashel","Number",""
"Crops in hectares","2018","Mullaghmore","Number","5.5"
"Crops in hectares","2018","Oaklands","Number","28.3"
"Crops in hectares","2018","Pomeroy","Number","56.1"
"Crops in hectares","2018","Stewartstown (Mid Ulster)","Number","213.6"
"Crops in hectares","2018","Swatragh","Number","86"
"Crops in hectares","2018","Tamlaght O'Crilly","Number","158"
"Crops in hectares","2018","The Loup","Number","175.4"
"Crops in hectares","2018","Tobermore","Number","235.8"
"Crops in hectares","2018","Town Parks East","Number",""
"Crops in hectares","2018","Valley (Mid Ulster)","Number","219.6"
"Crops in hectares","2018","Washing Bay","Number","11.4"
"Crops in hectares","2018","Abbey (Newry, Mourne and Down)","Number","3"
"Crops in hectares","2018","Annalong","Number","77.7"
"Crops in hectares","2018","Ballybot","Number","3"
"Crops in hectares","2018","Ballydugan","Number","538.2"
"Crops in hectares","2018","Ballynahinch","Number","7.3"
"Crops in hectares","2018","Ballyward","Number","299.2"
"Crops in hectares","2018","Bessbrook","Number","3.6"
"Crops in hectares","2018","Binnian","Number","208"
"Crops in hectares","2018","Burren","Number","17.7"
"Crops in hectares","2018","Camlough","Number","22.9"
"Crops in hectares","2018","Castlewellan","Number","46.1"
"Crops in hectares","2018","Cathedral (Newry, Mourne and Down)","Number","11.4"
"Crops in hectares","2018","Crossgar and Killyleagh","Number","51.9"
"Crops in hectares","2018","Crossmaglen","Number",""
"Crops in hectares","2018","Damolly","Number","3"
"Crops in hectares","2018","Derryboy","Number","399.3"
"Crops in hectares","2018","Derryleckagh","Number","30.9"
"Crops in hectares","2018","Donard","Number",""
"Crops in hectares","2018","Drumalane","Number",""
"Crops in hectares","2018","Drumaness","Number","34.2"
"Crops in hectares","2018","Dundrum","Number","534.4"
"Crops in hectares","2018","Fathom","Number","14.8"
"Crops in hectares","2018","Forkhill","Number",""
"Crops in hectares","2018","Hilltown","Number","702.8"
"Crops in hectares","2018","Kilkeel","Number","141.5"
"Crops in hectares","2018","Kilmore","Number","144.8"
"Crops in hectares","2018","Knocknashinna","Number",""
"Crops in hectares","2018","Lecale","Number","600.5"
"Crops in hectares","2018","Lisnacree","Number","299.9"
"Crops in hectares","2018","Mayobridge","Number","320.3"
"Crops in hectares","2018","Mullaghbane","Number","16"
"Crops in hectares","2018","Murlough","Number","260.8"
"Crops in hectares","2018","Newtownhamilton","Number","20"
"Crops in hectares","2018","Quoile","Number","121.2"
"Crops in hectares","2018","Rostrevor","Number","10"
"Crops in hectares","2018","Saintfield","Number","41.6"
"Crops in hectares","2018","St. Patrick's","Number","3"
"Crops in hectares","2018","Strangford","Number","754.3"
"Crops in hectares","2018","Tollymore","Number","240.5"
"Crops in hectares","2018","Warrenpoint","Number",""
"Crops in hectares","2018","Whitecross","Number","304.1"
"Crops in hectares","2018","Ballycrochan","Number","3"
"Crops in hectares","2018","Ballygowan","Number","456.8"
"Crops in hectares","2018","Ballygrainey","Number","57.3"
"Crops in hectares","2018","Ballyholme","Number","3"
"Crops in hectares","2018","Ballymagee","Number","3"
"Crops in hectares","2018","Ballywalter","Number","565.2"
"Crops in hectares","2018","Bloomfield (North Down and Ards)","Number","3"
"Crops in hectares","2018","Broadway","Number",""
"Crops in hectares","2018","Bryansburn","Number","3"
"Crops in hectares","2018","Carrowdore","Number","520.8"
"Crops in hectares","2018","Castle (North Down and Ards)","Number",""
"Crops in hectares","2018","Clandeboye","Number","121.9"
"Crops in hectares","2018","Comber North","Number","339.7"
"Crops in hectares","2018","Comber South","Number","462.7"
"Crops in hectares","2018","Comber West","Number","151.2"
"Crops in hectares","2018","Conway Square","Number","3"
"Crops in hectares","2018","Cronstown","Number",""
"Crops in hectares","2018","Cultra","Number",""
"Crops in hectares","2018","Donaghadee","Number","3"
"Crops in hectares","2018","Glen","Number","0.4"
"Crops in hectares","2018","Gregstown","Number",""
"Crops in hectares","2018","Groomsport","Number","107.9"
"Crops in hectares","2018","Harbour","Number",""
"Crops in hectares","2018","Helen's Bay","Number","37.2"
"Crops in hectares","2018","Holywood","Number","7.9"
"Crops in hectares","2018","Kilcooley","Number",""
"Crops in hectares","2018","Killinchy","Number","453.7"
"Crops in hectares","2018","Kircubbin","Number","444.4"
"Crops in hectares","2018","Loughries","Number","444"
"Crops in hectares","2018","Loughview","Number","76.3"
"Crops in hectares","2018","Movilla","Number",""
"Crops in hectares","2018","Portaferry","Number","729.7"
"Crops in hectares","2018","Portavogie","Number","102.2"
"Crops in hectares","2018","Rathgael","Number","3"
"Crops in hectares","2018","Rathmore","Number",""
"Crops in hectares","2018","Scrabo","Number","835.2"
"Crops in hectares","2018","Silverbirch","Number",""
"Crops in hectares","2018","Silverstream","Number",""
"Crops in hectares","2018","Warren","Number","146.7"
"Crops in hectares","2018","West Winds","Number","3"
"Crops in hectares","2018","Northern Ireland","Number","44934.9"
"Crops in hectares","2019","Abbey (Antrim and Newtownabbey)","Number",""
"Crops in hectares","2019","Aldergrove","Number","241.4"
"Crops in hectares","2019","Antrim Centre","Number","3"
"Crops in hectares","2019","Ballyclare East","Number","3"
"Crops in hectares","2019","Ballyclare West","Number","3"
"Crops in hectares","2019","Ballyduff","Number","3"
"Crops in hectares","2019","Ballyhenry","Number","3"
"Crops in hectares","2019","Ballynure","Number","40.9"
"Crops in hectares","2019","Ballyrobert","Number","104.7"
"Crops in hectares","2019","Burnthill","Number","3"
"Crops in hectares","2019","Carnmoney","Number",""
"Crops in hectares","2019","Carnmoney Hill","Number","3"
"Crops in hectares","2019","Clady","Number","197.9"
"Crops in hectares","2019","Collinbridge","Number","3"
"Crops in hectares","2019","Cranfield","Number","128.6"
"Crops in hectares","2019","Crumlin","Number",""
"Crops in hectares","2019","Doagh","Number","134.4"
"Crops in hectares","2019","Fairview","Number",""
"Crops in hectares","2019","Fountain Hill","Number",""
"Crops in hectares","2019","Glebe (Antrim and Newtownabbey)","Number",""
"Crops in hectares","2019","Glengormley","Number","3"
"Crops in hectares","2019","Greystone (Antrim and Newtownabbey)","Number",""
"Crops in hectares","2019","Hightown","Number",""
"Crops in hectares","2019","Jordanstown","Number",""
"Crops in hectares","2019","Mallusk","Number","80.6"
"Crops in hectares","2019","Monkstown","Number",""
"Crops in hectares","2019","Mossley","Number",""
"Crops in hectares","2019","O'Neill","Number",""
"Crops in hectares","2019","Parkgate","Number","195.2"
"Crops in hectares","2019","Randalstown","Number","44.6"
"Crops in hectares","2019","Rathcoole","Number",""
"Crops in hectares","2019","Rostulla","Number",""
"Crops in hectares","2019","Shilvodan","Number","120.8"
"Crops in hectares","2019","Springfarm","Number","3"
"Crops in hectares","2019","Steeple","Number",""
"Crops in hectares","2019","Stiles","Number","3"
"Crops in hectares","2019","Templepatrick","Number","91"
"Crops in hectares","2019","Toome","Number","108.7"
"Crops in hectares","2019","Valley (Antrim and Newtownabbey)","Number",""
"Crops in hectares","2019","Whitehouse","Number",""
"Crops in hectares","2019","Aghagallon","Number","280.9"
